timestamp,Temp_C,C_in_gNm3,Q_Nm3h,U1_kV,U2_kV,U3_kV,U4_kV,T1_s,T2_s,T3_s,T4_s,C_out_mgNm3,P_total_kW,split,dust_load_kg_h,condition_cluster,C_out_missing_flag,C_out_cap50_flag,C_out_exact_flag
2024-05-01 00:39:00,124.6,36.17,453566,58.5,58.0,50.3,45.8,221,205,398,363,49.82,1830.0,train,16405.48222,2,0,0,1
2024-05-01 00:40:00,124.8,37.54,482640,57.7,61.4,48.2,46.5,203,200,384,387,50.0,1873.2,train,18118.3056,3,0,1,0
2024-05-01 00:41:00,124.9,36.14,458808,61.6,57.2,47.5,50.8,199,204,385,373,49.3,1905.2,train,16581.32112,2,0,0,1
2024-05-01 00:42:00,125.1,35.44,468339,59.8,57.4,49.9,48.9,207,217,401,401,50.0,1847.7,train,16597.934159999997,3,0,1,0
2024-05-01 00:43:00,127.5,35.0,449949,59.3,56.8,51.6,46.4,222,225,381,367,50.0,1826.6,train,15748.215,2,0,1,0
2024-05-01 00:44:00,126.4,32.07,460639,57.8,58.6,50.9,49.3,218,214,373,387,50.0,1851.1,train,14772.69273,2,0,1,0
2024-05-01 00:45:00,126.8,33.99,461923,54.1,56.7,46.1,45.0,212,196,392,407,49.71,1741.6,train,15700.76277,2,0,0,1
2024-05-01 00:46:00,125.5,34.65,466788,56.6,59.8,49.6,50.3,227,203,383,378,49.97,1866.5,train,16174.2042,3,0,0,1
2024-05-01 00:47:00,123.3,38.46,441291,56.9,58.1,48.0,44.2,224,204,374,382,49.63,1779.6,train,16972.05186,4,0,0,1
2024-05-01 00:48:00,122.3,36.7,464465,57.7,59.9,50.7,46.1,220,231,395,390,49.69,1818.0,train,17045.8655,1,0,0,1
2024-05-01 00:49:00,123.1,31.45,454003,58.1,59.7,51.8,48.9,197,223,394,391,49.21,1887.2,train,14278.39435,1,0,0,1
2024-05-01 00:50:00,126.0,36.68,465861,59.5,57.2,43.4,45.6,220,225,392,363,50.0,1759.7,train,17087.78148,3,0,1,0
2024-05-01 00:51:00,125.5,34.93,455041,58.8,56.7,48.1,48.1,208,202,397,388,49.78,1831.3,train,15894.58213,2,0,0,1
2024-05-01 00:52:00,125.1,34.21,456553,60.5,57.6,47.2,49.2,206,195,367,399,50.0,1873.2,train,15618.67813,2,0,1,0
2024-05-01 00:53:00,124.9,37.45,461272,57.6,58.2,46.7,46.6,203,218,382,417,50.0,1798.3,train,17274.636400000003,2,0,1,0
2024-05-01 00:54:00,128.5,38.52,455108,58.7,58.9,46.3,47.9,209,205,394,382,50.0,1831.5,train,17530.76016,2,0,1,0
2024-05-01 00:55:00,124.2,38.29,459787,58.9,59.1,47.2,49.8,203,214,403,387,50.0,1842.5,train,17605.24423,4,0,1,0
2024-05-01 00:56:00,126.9,33.88,454109,58.7,58.2,47.5,49.0,213,216,394,396,50.0,1831.0,train,15385.212920000002,2,0,1,0
2024-05-01 00:57:00,125.5,35.22,449056,60.8,56.9,47.4,51.2,209,206,405,381,50.0,1879.3,train,15815.75232,2,0,1,0
2024-05-01 00:58:00,125.4,36.84,471930,59.9,57.1,44.1,46.4,213,223,383,409,49.79,1774.9,train,17385.901200000004,3,0,0,1
2024-05-01 00:59:00,127.3,38.47,453483,55.6,59.3,48.4,46.1,217,193,384,391,49.7,1821.4,train,17445.491009999998,2,0,0,1
2024-05-01 01:00:00,127.7,34.85,462487,58.0,57.0,50.2,50.8,207,212,387,394,49.53,1857.9,train,16117.671950000002,2,0,0,1
2024-05-01 01:01:00,125.2,35.6,470004,58.2,59.4,47.0,48.9,202,219,390,397,50.0,1841.2,train,16732.1424,3,0,1,0
2024-05-01 01:02:00,126.7,33.31,459126,62.6,59.5,44.9,47.6,187,231,370,371,50.0,1888.9,train,15293.48706,2,0,1,0
2024-05-01 01:03:00,126.1,33.11,457509,57.6,61.3,48.3,47.0,220,213,391,394,49.25,1832.0,train,15148.12299,2,0,0,1
2024-05-01 01:04:00,125.6,38.15,465986,56.3,57.3,50.3,49.8,212,226,391,384,49.96,1818.5,train,17777.365899999997,3,0,0,1
2024-05-01 01:05:00,125.9,39.52,473184,59.2,57.6,48.5,47.4,209,225,384,381,50.0,1816.4,train,18700.23168,3,0,1,0
2024-05-01 01:06:00,124.5,35.97,454951,59.3,53.7,46.7,49.7,225,239,382,397,50.0,1752.4,train,16364.58747,2,0,1,0
2024-05-01 01:07:00,125.1,38.68,463169,58.1,56.4,46.0,50.7,196,215,394,405,50.0,1826.3,train,17915.37692,3,0,1,0
2024-05-01 01:08:00,124.7,37.09,450575,57.9,56.4,49.6,48.4,212,236,398,391,50.0,1796.6,train,16711.82675,2,0,1,0
2024-05-01 01:09:00,127.0,34.59,461354,60.2,59.3,47.7,45.4,199,221,393,410,50.0,1838.5,train,15958.23486,2,0,1,0
2024-05-01 01:10:00,125.5,37.12,464838,56.6,61.9,47.1,49.3,219,193,393,388,50.0,1871.5,train,17254.78656,3,0,1,0
2024-05-01 01:11:00,123.7,40.08,457792,57.6,59.5,46.9,50.4,184,211,391,371,49.72,1887.8,train,18348.30336,4,0,0,1
2024-05-01 01:12:00,124.5,36.16,461038,57.3,60.3,48.6,50.6,221,200,391,377,49.74,1880.5,train,16671.13408,2,0,0,1
2024-05-01 01:13:00,120.8,40.18,453492,60.5,56.9,48.4,48.5,220,229,399,410,50.0,1806.8,train,18221.30856,4,0,1,0
2024-05-01 01:14:00,124.9,29.74,465439,58.9,55.9,48.3,44.7,200,213,411,413,50.0,1783.0,train,13842.15586,1,0,1,0
2024-05-01 01:15:00,125.7,38.36,473333,56.2,57.8,46.2,47.3,212,195,409,396,49.76,1797.3,train,18157.05388,3,0,0,1
2024-05-01 01:16:00,125.5,36.54,456175,56.4,57.1,46.1,47.2,200,222,378,384,49.76,1793.7,train,16668.6345,2,0,0,1
2024-05-01 01:17:00,128.6,35.59,460035,62.1,56.6,46.9,49.9,216,227,366,388,49.95,1843.4,train,16372.645650000002,2,0,0,1
2024-05-01 01:18:00,126.5,36.59,469101,60.5,58.8,48.8,49.0,221,206,398,391,49.87,1857.0,train,17164.40559,3,0,0,1
2024-05-01 01:19:00,126.5,31.41,474842,60.0,56.0,49.3,50.0,199,206,392,392,50.0,1881.1,train,14914.78722,1,0,1,0
2024-05-01 01:20:00,123.2,35.84,453264,58.4,60.0,51.1,46.8,196,214,391,398,50.0,1885.5,train,16244.981760000002,4,0,1,0
2024-05-01 01:21:00,125.2,37.3,463924,61.4,57.6,46.5,48.6,224,189,396,395,50.0,1853.0,train,17304.3652,3,0,1,0
2024-05-01 01:22:00,125.0,40.12,467604,56.2,58.3,49.6,43.6,234,220,388,377,50.0,1760.5,train,18760.27248,3,0,1,0
2024-05-01 01:23:00,124.5,35.15,464587,59.9,58.6,44.7,47.4,217,232,372,378,50.0,1808.5,train,16330.23305,1,0,1,0
2024-05-01 01:24:00,124.5,34.44,445653,57.5,57.4,48.9,45.2,218,203,378,398,49.97,1796.0,train,15348.289319999998,2,0,0,1
2024-05-01 01:25:00,123.0,35.23,469541,57.9,60.9,45.2,51.7,207,233,378,387,49.59,1850.8,train,16541.929429999997,1,0,0,1
2024-05-01 01:26:00,123.8,38.79,477751,59.8,55.2,45.7,49.1,213,223,399,390,49.82,1779.0,train,18531.96129,3,0,0,1
2024-05-01 01:27:00,127.1,37.34,466594,58.1,60.9,49.7,49.0,215,210,414,392,49.37,1863.1,train,17422.61996,3,0,0,1
2024-05-01 01:28:00,125.6,35.21,457476,57.5,57.7,48.5,45.7,209,219,386,385,50.0,1789.9,train,16107.72996,2,0,1,0
2024-05-01 01:29:00,125.0,37.83,461684,57.4,60.2,47.6,47.9,227,230,423,393,50.0,1776.3,train,17465.505719999997,2,0,1,0
2024-05-01 01:30:00,125.8,36.81,480013,54.4,58.8,45.4,49.5,213,213,369,400,49.89,1780.3,train,17669.27853,3,0,0,1
2024-05-01 01:31:00,127.5,39.01,473197,59.9,60.1,48.9,46.5,215,216,385,390,49.75,1851.5,train,18459.41497,3,0,0,1
2024-05-01 01:32:00,125.8,34.85,471102,56.4,58.2,48.4,47.3,209,205,394,408,50.0,1810.4,train,16417.904700000003,3,0,1,0
2024-05-01 01:33:00,126.6,35.8,468897,62.1,58.9,49.6,50.4,211,210,361,410,50.0,1916.3,train,16786.5126,3,0,1,0
2024-05-01 01:34:00,124.5,35.66,460821,57.8,60.6,44.7,46.1,226,220,410,381,50.0,1773.5,train,16432.876859999997,2,0,1,0
2024-05-01 01:35:00,124.9,32.99,464569,61.0,58.6,49.4,47.3,213,209,383,397,50.0,1873.4,train,15326.13131,1,0,1,0
2024-05-01 01:36:00,126.4,37.41,465615,54.8,61.1,47.1,46.6,213,205,392,389,49.95,1813.4,train,17418.65715,3,0,0,1
2024-05-01 01:37:00,128.7,37.34,470699,59.9,59.1,48.8,48.9,214,225,397,382,50.0,1858.6,train,17575.90066,3,0,1,0
2024-05-01 01:38:00,128.0,36.72,478437,60.4,57.0,48.1,49.8,207,217,373,391,49.94,1857.8,train,17568.20664,3,0,0,1
2024-05-01 01:39:00,126.7,36.14,475377,61.0,57.7,46.5,51.4,195,206,421,366,50.0,1893.1,train,17180.124780000002,3,0,1,0
2024-05-01 01:40:00,126.1,33.2,455139,55.4,60.2,47.4,49.0,230,232,393,401,50.0,1780.6,train,15110.6148,2,0,1,0
2024-05-01 01:41:00,128.0,35.71,468350,57.0,56.0,46.5,50.7,224,237,388,402,50.0,1762.9,train,16724.7785,3,0,1,0
2024-05-01 01:42:00,127.1,35.92,472516,59.6,60.0,47.2,49.0,226,224,378,394,50.0,1835.9,train,16972.77472,3,0,1,0
2024-05-01 01:43:00,122.5,34.79,471636,58.7,57.7,46.4,45.5,199,197,394,403,50.0,1826.5,train,16408.21644,1,0,1,0
2024-05-01 01:44:00,124.3,36.41,461715,59.0,55.9,49.0,48.3,229,216,373,383,49.81,1809.7,train,16811.043149999998,2,0,0,1
2024-05-01 01:45:00,126.4,37.84,490126,57.7,58.9,46.5,48.3,235,219,393,358,49.87,1796.0,train,18546.36784,3,0,0,1
2024-05-01 01:46:00,123.2,41.56,456660,61.6,57.1,49.3,50.4,224,193,409,386,50.0,1886.8,train,18978.7896,4,0,1,0
2024-05-01 01:47:00,124.6,37.3,458275,63.7,57.3,54.8,48.0,231,226,406,377,49.96,1885.7,train,17093.6575,2,0,0,1
2024-05-01 01:48:00,124.9,37.52,468873,58.7,57.2,47.7,47.5,221,214,385,392,50.0,1805.6,train,17592.114960000003,3,0,1,0
2024-05-01 01:49:00,125.6,36.71,484002,59.4,58.7,45.1,46.5,201,225,389,409,50.0,1800.4,train,17767.71342,3,0,1,0
2024-05-01 01:50:00,125.5,32.11,460442,58.6,57.7,52.4,47.7,218,208,398,395,49.97,1844.6,train,14784.792619999998,2,0,0,1
2024-05-01 01:51:00,125.5,36.86,465068,61.1,59.3,48.9,48.1,199,217,406,389,50.0,1880.1,train,17142.40648,3,0,1,0
2024-05-01 01:52:00,127.2,37.1,475877,60.1,60.5,48.0,49.4,204,218,410,405,50.0,1877.6,train,17655.0367,3,0,1,0
2024-05-01 01:53:00,125.6,43.12,467179,56.4,59.6,47.5,46.6,215,214,411,412,50.0,1784.4,train,20144.75848,3,0,1,0
2024-05-01 01:54:00,125.4,36.5,464708,57.3,62.1,46.1,52.9,214,218,381,397,50.0,1872.4,train,16961.842,3,0,1,0
2024-05-01 01:55:00,124.0,37.75,471974,56.5,62.6,47.6,46.4,217,210,401,384,50.0,1828.5,train,17817.0185,3,0,1,0
2024-05-01 01:56:00,127.5,36.93,469692,63.9,57.9,46.7,45.7,190,197,375,393,49.87,1905.7,train,17345.72556,3,0,0,1
2024-05-01 01:57:00,125.0,34.11,475819,59.8,56.2,46.7,49.3,210,187,386,394,50.0,1846.9,train,16230.18609,1,0,1,0
2024-05-01 01:58:00,124.4,39.91,477971,57.3,57.9,49.4,45.7,218,204,378,390,49.93,1820.2,train,19075.82261,3,0,0,1
2024-05-01 01:59:00,126.4,38.95,470158,57.2,58.8,50.2,48.3,221,221,378,407,49.93,1821.7,train,18312.6541,3,0,0,1
2024-05-01 02:00:00,124.9,39.06,470099,60.1,63.0,47.8,46.9,222,199,395,402,50.0,1869.4,train,18362.06694,3,0,1,0
2024-05-01 02:01:00,125.3,34.83,469541,60.3,57.8,49.3,49.6,215,224,384,378,49.98,1861.3,train,16354.11303,3,0,0,1
2024-05-01 02:02:00,126.4,40.63,471805,60.1,59.1,52.5,48.6,207,228,396,377,49.21,1886.1,train,19169.43715,3,0,0,1
2024-05-01 02:03:00,125.6,33.63,468396,57.7,57.2,46.6,50.6,218,217,378,386,49.93,1805.2,train,15752.15748,3,0,0,1
2024-05-01 02:04:00,129.5,38.62,468013,59.2,57.8,45.0,49.1,208,210,398,380,49.99,1827.6,train,18074.66206,3,0,0,1
2024-05-01 02:05:00,126.0,42.65,477654,58.8,56.1,49.9,48.4,223,224,387,387,50.0,1801.7,train,20371.9431,3,0,1,0
2024-05-01 02:06:00,127.0,34.71,480273,56.7,55.6,46.8,48.7,217,226,389,392,50.0,1757.1,train,16670.27583,3,0,1,0
2024-05-01 02:07:00,123.2,35.79,456147,56.7,61.3,47.2,46.3,211,209,377,390,50.0,1834.7,train,16325.50113,4,0,1,0
2024-05-01 02:08:00,124.8,37.47,468350,59.4,60.7,48.5,46.9,203,213,404,394,49.91,1852.0,train,17549.0745,3,0,0,1
2024-05-01 02:09:00,124.5,35.98,462823,59.0,57.8,50.8,48.7,225,202,394,388,50.0,1856.7,train,16652.37154,2,0,1,0
2024-05-01 02:10:00,124.7,33.38,465908,59.7,60.7,48.5,49.5,219,215,399,375,50.0,1865.3,train,15552.00904,1,0,1,0
2024-05-01 02:11:00,126.8,37.44,471679,60.2,56.0,44.0,47.6,237,187,377,381,49.97,1807.9,train,17659.66176,3,0,0,1
2024-05-01 02:12:00,127.7,34.63,473877,61.6,58.2,49.0,47.9,218,208,400,380,50.0,1855.8,train,16410.360510000002,3,0,1,0
2024-05-01 02:13:00,126.7,38.49,467687,57.0,58.9,48.8,47.5,219,202,393,383,50.0,1837.8,train,18001.272630000003,3,0,1,0
2024-05-01 02:14:00,125.8,35.03,453340,59.8,61.1,46.6,49.0,194,211,386,397,49.66,1894.0,train,15880.5002,2,0,0,1
2024-05-01 02:15:00,125.2,41.22,460989,60.1,59.0,44.9,48.3,216,202,409,388,50.0,1841.2,train,19001.96658,3,0,1,0
2024-05-01 02:16:00,127.9,35.4,475944,58.0,59.7,47.5,49.5,208,189,397,381,49.48,1891.1,train,16848.417599999997,3,0,0,1
2024-05-01 02:17:00,129.3,36.57,446911,58.8,57.7,43.7,47.1,222,204,398,391,49.65,1789.4,train,16343.53527,2,0,0,1
2024-05-01 02:18:00,126.4,39.43,478397,58.0,59.1,44.7,48.2,216,206,369,396,49.85,1823.5,train,18863.19371,3,0,0,1
2024-05-01 02:19:00,127.6,34.33,473129,62.8,61.1,45.6,51.3,224,225,405,395,49.78,1890.6,train,16242.518569999998,3,0,0,1
2024-05-01 02:20:00,126.7,38.0,479551,58.8,55.4,45.8,52.4,238,204,398,421,50.0,1800.0,train,18222.938,3,0,1,0
2024-05-01 02:21:00,127.4,40.71,467496,59.5,60.9,50.1,47.8,202,202,407,385,49.43,1900.8,train,19031.76216,3,0,0,1
2024-05-01 02:22:00,124.5,33.44,452656,58.1,58.2,48.0,50.9,223,198,385,397,49.94,1854.5,train,15136.81664,2,0,0,1
2024-05-01 02:23:00,125.5,37.94,472652,57.7,55.8,49.0,50.8,220,226,384,405,50.0,1801.8,train,17932.41688,3,0,1,0
2024-05-01 02:24:00,126.8,38.14,479469,56.0,58.1,48.7,50.0,236,209,412,411,49.91,1787.1,train,18286.94766,3,0,0,1
2024-05-01 02:25:00,128.1,39.47,476731,60.8,61.2,45.2,44.8,221,215,404,389,49.95,1810.8,train,18816.57257,3,0,0,1
2024-05-01 02:26:00,125.0,34.44,464094,60.2,57.7,47.2,45.5,219,194,375,371,49.82,1837.2,train,15983.39736,2,0,0,1
2024-05-01 02:27:00,123.2,34.25,470152,58.0,59.2,47.9,47.3,222,191,393,389,49.47,1851.3,train,16102.706,1,0,0,1
2024-05-01 02:28:00,125.5,38.87,465257,56.8,55.4,48.1,47.3,223,201,405,397,49.73,1773.9,train,18084.53959,3,0,0,1
2024-05-01 02:29:00,127.8,38.32,463028,59.0,55.0,49.3,46.5,230,232,395,424,50.0,1747.3,train,17743.23296,3,0,1,0
2024-05-01 02:30:00,123.9,38.22,477287,57.7,56.5,50.2,49.4,202,199,386,376,49.79,1867.1,train,18241.90914,3,0,0,1
2024-05-01 02:31:00,124.5,38.48,460126,58.2,60.7,49.1,49.6,207,205,385,392,50.0,1886.7,train,17705.648479999996,4,0,1,0
2024-05-01 02:32:00,126.6,35.93,462617,56.1,58.6,51.9,51.9,233,212,393,384,49.83,1849.5,train,16621.82881,2,0,0,1
2024-05-01 02:33:00,126.2,38.23,460998,59.1,60.9,49.2,47.1,189,205,405,404,49.63,1901.4,train,17623.95354,2,0,0,1
2024-05-01 02:34:00,127.2,38.4,457970,59.1,61.0,47.3,47.0,211,218,381,385,50.0,1851.6,train,17586.048,2,0,1,0
2024-05-01 02:35:00,124.5,35.9,471125,60.9,57.2,50.9,48.7,214,202,367,374,50.0,1898.2,train,16913.3875,3,0,1,0
2024-05-01 02:36:00,125.9,42.36,479307,58.4,61.8,45.9,45.8,210,199,388,368,50.0,1862.4,train,20303.44452,3,0,1,0
2024-05-01 02:37:00,128.2,38.9,468598,58.0,57.6,49.4,52.1,231,245,398,396,50.0,1810.5,train,18228.4622,3,0,1,0
2024-05-01 02:38:00,124.6,34.76,458092,55.6,60.7,48.0,47.6,218,201,401,394,50.0,1831.3,train,15923.27792,2,0,1,0
2024-05-01 02:39:00,128.6,39.39,476920,60.9,60.6,46.6,48.2,208,222,381,399,49.7,1860.8,train,18785.8788,3,0,0,1
2024-05-01 02:40:00,124.8,35.33,483747,60.5,58.8,48.8,48.6,205,201,396,394,50.0,1870.0,train,17090.781509999997,3,0,1,0
2024-05-01 02:41:00,127.7,39.75,465153,58.8,58.8,47.8,48.1,216,194,385,396,49.8,1854.0,train,18489.83175,3,0,0,1
2024-05-01 02:42:00,125.8,40.7,466556,56.0,59.3,44.7,47.8,226,211,402,398,50.0,1769.7,train,18988.829200000004,3,0,1,0
2024-05-01 02:43:00,124.7,35.77,474571,56.3,58.9,48.7,53.1,214,196,391,383,49.95,1889.2,train,16975.404670000004,3,0,0,1
2024-05-01 02:44:00,125.7,40.24,483482,57.6,57.9,46.3,48.5,211,208,403,393,49.7,1814.4,train,19455.31568,3,0,0,1
2024-05-01 02:45:00,127.2,38.88,466410,60.6,57.8,48.6,49.3,204,203,394,399,50.0,1887.1,train,18134.0208,3,0,1,0
2024-05-01 02:46:00,126.4,39.92,459970,59.3,58.0,48.1,47.4,217,227,399,381,49.87,1803.0,train,18362.0024,3,0,0,1
2024-05-01 02:47:00,128.1,42.63,475742,55.7,61.2,49.2,49.6,216,194,388,372,50.0,1869.7,train,20280.88146,3,0,1,0
2024-05-01 02:48:00,128.6,37.29,477145,59.5,55.6,43.8,48.4,204,221,384,397,49.95,1777.9,train,17792.73705,3,0,0,1
2024-05-01 02:49:00,124.7,36.04,470862,57.1,57.7,46.4,48.9,225,216,389,391,49.99,1792.4,train,16969.86648,3,0,0,1
2024-05-01 02:50:00,124.6,35.71,466409,57.7,58.1,48.6,49.3,233,210,400,409,50.0,1795.3,train,16655.46539,3,0,1,0
2024-05-01 02:51:00,124.5,35.91,478890,60.7,58.3,54.1,50.1,213,203,423,401,50.0,1915.0,train,17196.939899999998,3,0,1,0
2024-05-01 02:52:00,125.1,37.78,475220,60.3,59.3,48.7,49.8,216,215,408,389,50.0,1860.3,train,17953.8116,3,0,1,0
2024-05-01 02:53:00,128.2,38.84,464909,60.9,56.1,47.5,48.3,199,215,411,377,49.55,1833.2,train,18057.065560000003,3,0,0,1
2024-05-01 02:54:00,127.4,38.7,471511,58.7,60.8,50.1,48.4,221,217,392,409,49.96,1851.1,train,18247.475700000003,3,0,0,1
2024-05-01 02:55:00,125.7,40.09,460365,60.5,60.5,47.2,46.2,218,209,387,402,49.99,1849.6,train,18456.032850000003,3,0,0,1
2024-05-01 02:56:00,126.5,38.07,476726,57.6,60.1,49.2,48.0,209,199,367,408,49.75,1873.0,train,18148.95882,3,0,0,1
2024-05-01 02:57:00,128.6,41.69,469202,58.3,58.4,48.5,48.6,204,223,386,405,50.0,1849.5,train,19561.03138,3,0,1,0
2024-05-01 02:58:00,129.4,37.41,467875,58.1,57.3,50.5,50.2,235,213,376,378,50.0,1850.4,train,17503.20375,3,0,1,0
2024-05-01 02:59:00,126.9,44.89,471158,58.8,58.1,49.7,43.7,217,205,402,399,50.0,1798.6,train,21150.28262,3,0,1,0
2024-05-01 03:00:00,122.6,39.67,471804,56.2,58.9,47.4,49.0,202,201,391,404,49.58,1836.9,train,18716.46468,3,0,0,1
2024-05-01 03:01:00,127.0,35.98,478701,58.3,60.1,45.4,46.8,223,224,377,394,50.0,1807.8,train,17223.661979999997,3,0,1,0
2024-05-01 03:02:00,128.0,35.46,476331,61.7,58.6,46.3,49.9,215,229,400,389,49.68,1843.9,train,16890.69726,3,0,0,1
2024-05-01 03:03:00,126.9,39.36,470411,56.6,59.5,49.0,51.1,213,220,397,388,50.0,1837.2,train,18515.37696,3,0,1,0
2024-05-01 03:04:00,127.7,37.61,477832,56.1,57.9,48.3,48.3,224,220,380,384,49.9,1791.5,train,17971.26152,3,0,0,1
2024-05-01 03:05:00,127.1,39.98,474989,56.3,59.4,48.5,51.3,181,227,411,392,50.0,1862.9,train,18990.06022,3,0,1,0
